name,title,medium,year,size,sale,sold,estimate
Thomas Hart Benton,"Keith Farm, Chilmark",oil on canvas,1955,Height 21 in.; Width 29 in. / Height 53.3 cm.; Width 73.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00015]
American Art","4,830,000 USD Premium","2,000,000 - 3,000,000 USD ?"
Dale Nichols,Farm Scene,oil on canvas,1948,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00017]
American Art","112,500 USD Premium","50,000 - 70,000 USD ?"
Milton Avery,Siesta,oil on canvas,1946-1947,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00012]
American Art",Bought In,"1,500,000 - 2,500,000 USD ?"
George L.K. Morris,Dual Projection,oil on canvas,1950,Height 30 in.; Width 38 in. / Height 76.2 cm.; Width 96.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00075]
American Art","56,250 USD Premium","25,000 - 35,000 USD ?"
Ida Ten Eyck O'Keeffe,Roots,oil on canvas,1932,Height 20 in.; Width 26 in. / Height 50.8 cm.; Width 66 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00071]
American Art","13,750 USD Premium","4,000 - 6,000 USD ?"
Stanton MacDonald-Wright,Jazz Fragment,oil on panel,1962,Height 24 in.; Width 20 in. / Height 60.9 cm.; Width 50.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00076]
American Art","32,500 USD Premium","25,000 - 35,000 USD ?"
Fairfield Porter,Island Beach,oil on canvas,1961,Height 24 in.; Width 30 in. / Height 60.9 cm.; Width 76.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00024]
American Art","437,500 USD Premium","150,000 - 250,000 USD ?"
Wolf Kahn,Looking Up-River,oil on canvas,1987,Height 28 in.; Width 50.2 in. / Height 71.1 cm.; Width 127.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00031]
American Art","187,500 USD Premium","25,000 - 35,000 USD ?"
Wolf Kahn,Atlantic Highlands,oil on canvas,1960,Height 44.5 in.; Width 53.3 in. / Height 113 cm.; Width 135.3 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00032]
American Art","212,500 USD Premium","25,000 - 35,000 USD ?"
Marsden Hartley,"Songs of Winter, No. 3",oil on board,Circa 1907-1908,Height 9 in.; Width 12 in. / Height 22.8 cm.; Width 30.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00037]
American Art","300,000 USD Premium","100,000 - 150,000 USD ?"
Marsden Hartley,Still Life: Wine Bottle with Glass of Red Wine,oil on canvas,Circa 1925-1926,Height 25.7 in.; Width 31.9 in. / Height 65.4 cm.; Width 80.9 cm.,"200,000 - 300,000 USD ?",,Bought In
George Bellows,"Evening Blue (Tending the Lobster Traps, Early Morning)",oil on panel,1916,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00040]
American Art","810,000 USD Premium","800,000 - 1,200,000 USD ?"
John Leslie Breck,Surf at Gloucester,oil on canvas,1894,Height 22.2 in.; Width 18 in. / Height 56.5 cm.; Width 45.7 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00053]
American Art","15,000 USD Premium","15,000 - 25,000 USD ?"
Frederick Carl Frieseke,Frances in a Field of Flowers,oil on canvas,1922,Height 32 in.; Width 25.5 in. / Height 81.3 cm.; Width 64.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00064]
American Art",Bought In,"40,000 - 60,000 USD ?"
Paul Cadmus,Lloyd and Barbara Wescott,tempera on gessoed masonite,1942,Height 21.7 in.; Width 35 in. / Height 55.2 cm.; Width 88.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00014]
American Art","2,430,000 USD Premium","300,000 - 500,000 USD ?"
Maxfield Parrish,Dingleton Farm,oil on gessoed masonite,1956,Height 11.5 in.; Width 15.5 in. / Height 29.2 cm.; Width 39.4 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00018]
American Art","858,000 USD Premium","600,000 - 800,000 USD ?"
Henrietta Shore,Unity,oil on canvas,Circa 1922,Height 38.3 in.; Width 27.5 in. / Height 97.2 cm.; Width 69.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00007]
American Art","350,000 USD Premium","80,000 - 120,000 USD ?"
Reginald Marsh,Coney Island,mixed media on gessoed masonite,1951,Height 20 in.; Width 24 in. / Height 50.8 cm.; Width 60.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00060]
American Art","11,250 USD Premium","12,000 - 18,000 USD ?"
Walt Kuhn,Woman in Red Scarf Near the Seashore,oil on canvas,Circa 1912,Height 20.2 in.; Width 24.3 in. / Height 51.4 cm.; Width 61.6 cm.,"20,000 - 30,000 USD ?",,"18,750 USD Premium ?"
Walt Kuhn,Green Apples on Blue Cloth,oil on canvas,1943,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00072]
American Art","93,750 USD Premium","20,000 - 30,000 USD ?"
George L.K. Morris,Intrusion,oil on canvas,1939,Height 20.2 in.; Width 16.2 in. / Height 51.4 cm.; Width 41.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00074]
American Art","68,750 USD Premium","30,000 - 50,000 USD ?"
Stanton MacDonald-Wright,Jeunesse,oil on canvas,1955,Height 60 in.; Width 36 in. / Height 152.4 cm.; Width 91.4 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00077]
American Art","100,000 USD Premium","50,000 - 70,000 USD ?"
Maurice Prendergast,The Boat Race,oil on canvas,Circa 1918-1923,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00055]
American Art","350,000 USD Premium","200,000 - 300,000 USD ?"
Fairfield Porter,Monument Mountain from Ingleside Cottage,oil on panel,1974,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00023]
American Art","112,500 USD Premium","40,000 - 60,000 USD ?"
Fairfield Porter,"Wareham, Route 6",oil on canvas,1959,Height 17.5 in.; Width 31 in. / Height 44.5 cm.; Width 78.7 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00034]
American Art","118,750 USD Premium","100,000 - 150,000 USD ?"
John Marin,"Union Hill, New Jersey",oil on canvas,1929,Height 27 in.; Width 22 in. / Height 68.6 cm.; Width 55.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00044]
American Art",Bought In,"300,000 - 500,000 USD ?"
Stuart Davis,Carrefour,oil on canvas,1928,Height 12.5 in.; Width 21.7 in. / Height 31.8 cm.; Width 55.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00042]
American Art",Bought In,"700,000 - 1,000,000 USD ?"
Louis Ritman,Going to the Market,oil on canvas,Height 28.7 in.; Width 28.7 in. / Height 73 cm.; Width 73 cm.,Signed,"25,000 - 35,000 USD ?",,"18,750 USD Premium ?"
Ernest Lawson,Birch Woods,oil on canvas laid down on board,Circa 1919,Height 25 in.; Width 30 in. / Height 63.5 cm.; Width 76.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00065]
American Art",Bought In,"30,000 - 50,000 USD ?"
Guy Carleton Wiggins,Church of the Ascension,oil on canvas,1937,Height 24 in.; Width 20 in. / Height 61 cm.; Width 50.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00049]
American Art","47,500 USD Premium","25,000 - 35,000 USD ?"
John Marshall Gamble,"Poppies and Lupines Near Santa Paula, California",oil on canvas,Height 22 in.; Width 38 in. / Height 55.9 cm.; Width 96.5 cm.,"Signed, Inscribed","40,000 - 60,000 USD ?",,Bought In
Marsden Hartley,"Mount Katahdin, Snow Storm",oil on masonite,1942,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00038]
American Art",Bought In,"700,000 - 900,000 USD ?"
Walt Kuhn,Chico in a Silk Hat,oil on canvas,1948,Height 40.5 in.; Width 30 in. / Height 102.8 cm.; Width 76.2 cm.,"700,000 - 1,000,000 USD ?",,"1,590,000 USD Premium ?"
Stuart Davis,Coast Town Landscape Study,oil on canvas,1940,Height 10 in.; Width 14 in. / Height 25.4 cm.; Width 35.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00009]
American Art","450,000 USD Premium","400,000 - 600,000 USD ?"
William Merritt Chase,"Untitled (Shinnecock Hills, Long Island)",oil on panel,Circa 1906,Height 9 in.; Width 12 in. / Height 22.9 cm.; Width 30.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00054]
American Art","375,000 USD Premium","400,000 - 600,000 USD ?"
Leon Kelly,Still Life with Pears,oil on canvas,1922,Height 30 in.; Width 25 in. / Height 76.2 cm.; Width 63.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00073]
American Art",Bought In,"10,000 - 15,000 USD ?"
N.C. Wyeth,"The Boy, Moses…",oil on canvas,1928,Height 43 in.; Width 32 in. / Height 109.2 cm.; Width 81.3 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00019]
American Art","250,000 USD Premium","250,000 - 350,000 USD ?"
Robert Henri,Irish Girl,oil on canvas,1928,Height 28 in.; Width 20 in. / Height 71.1 cm.; Width 50.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00062]
American Art","312,500 USD Premium","100,000 - 150,000 USD ?"
Wolf Kahn,Flowers Against Blue Bay,oil on canvas,1956,Height 33 in.; Width 27.8 in. / Height 83.8 cm.; Width 70.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00033]
American Art","102,500 USD Premium","15,000 - 25,000 USD ?"
George Bellows,"Through the Trees, Monhegan Island, Maine",oil on panel,1913,Height 15 in.; Width 19.5 in. / Height 38.1 cm.; Width 49.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00039]
American Art","162,500 USD Premium","100,000 - 150,000 USD ?"
Colin Campbell Cooper,Wall and Broad Streets,oil on canvas,Circa 1905-1910,Height 22 in.; Width 15 in. / Height 55.9 cm.; Width 38.1 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00050]
American Art","100,000 USD Premium","30,000 - 50,000 USD ?"
Porfirio Salinas,Bluebonnet Hill Country,oil on canvas,Height 18 in.; Width 36 in. / Height 45.7 cm.; Width 91.4 cm.,Signed,"30,000 - 50,000 USD ?",,"43,750 USD Premium ?"
Oscar Florianus Bluemner,"Red House, Canal, Jersey City (Secluded Spot. Red Amidst Grey)",oil on gessoed board,1928-1929,Height 9.6 in.; Width 14 in. / Height 24.4 cm.; Width 35.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00011]
American Art",Bought In,"500,000 - 700,000 USD ?"
Grandma Moses,A Frosty Morning,oil and glitter on masonite,1944,Height 12 in.; Width 15 in. / Height 30.5 cm.; Width 38.1 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00078]
American Art","60,000 USD Premium","20,000 - 30,000 USD ?"
Oscar Florianus Bluemner,Soho,oil on board,Circa 1932,Height 8 in.; Width 10 in. / Height 20.3 cm.; Width 25.4 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00043]
American Art",Bought In,"400,000 - 600,000 USD ?"
George L. Noyes,Summer's Peace,oil on canvas,Height 34.2 in.; Width 36.3 in. / Height 86.9 cm.; Width 92.1 cm.,Signed,"15,000 - 25,000 USD ?",,"37,500 USD Premium ?"
Arthur Dove,Sunset,oil on canvas,1935,Height 27.6 in.; Width 33 in. / Height 70 cm.; Width 83.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00010]
American Art","7,802,500 USD Premium","2,000,000 - 3,000,000 USD ?"
George Copeland Ault,The Plough and the Moon,oil on canvas,1940,Height 22 in.; Width 30 in. / Height 55.8 cm.; Width 76.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00016]
American Art","687,500 USD Premium","120,000 - 180,000 USD ?"
Henriette Wyeth,Wildflower Still Life,oil on canvas,Circa 1973,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00069]
American Art","30,000 USD Premium","8,000 - 12,000 USD ?"
Georges Braque,Circe,pastel on paper laid down on canvas,Circa 1931-1932,Height 70.9 in.; Width 28.7 in. / Height 180 cm.; Width 73 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00534]
Impressionist and Modern Art Works on Paper Sale","462,500 USD Premium","100,000 - 150,000 USD ?"
