,name,title,medium,year,size,sale,sold,estimate,artist,gender,nationality,birthday,hometown
0,Thomas Hart Benton,"Keith Farm, Chilmark",oil on canvas,1955,Height 21 in.; Width 29 in. / Height 53.3 cm.; Width 73.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00015]
American Art","4,830,000 USD Premium","2,000,000 - 3,000,000 USD ?",thomas-hart-benton,male,American,1889,"Neosho, Missouri"
1,Thomas Hart Benton,Study for 'Lumber Mill',oil en grisaille on paperboard,Circa 1928,Height 8.5 in.; Width 11.6 in. / Height 21.6 cm.; Width 29.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00211]
American Art","32,500 USD Premium","30,000 - 50,000 USD ?",thomas-hart-benton,male,American,1889,"Neosho, Missouri"
2,Thomas Hart Benton,Study for 'The Lord is My Shepherd',oil on canvas,Circa 1926,Height 8.5 in.; Width 6.6 in. / Height 21.6 cm.; Width 16.8 cm.,"20,000 - 30,000 USD ?",,Bought In,thomas-hart-benton,male,American,1889,"Neosho, Missouri"
3,Thomas Hart Benton,Study for 'Traders,oil on paperboard,Circa 1924,Height 8 in.; Width 8.7 in. / Height 20.3 cm.; Width 22 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00212]
American Art",Bought In,"70,000 - 100,000 USD ?",thomas-hart-benton,male,American,1889,"Neosho, Missouri"
4,Thomas Hart Benton,Study for 'The History of Water',tempera on gessoed board,Circa 1930-1931,Height 17.8 in.; Width 14.3 in. / Height 45.1 cm.; Width 36.2 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00117]
American Art","68,750 USD Premium","80,000 - 120,000 USD ?",thomas-hart-benton,male,American,1889,"Neosho, Missouri"
5,Dale Nichols,Farm Scene,oil on canvas,1948,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00017]
American Art","112,500 USD Premium","50,000 - 70,000 USD ?",dale-nichols,male,American,1904,"David City, NE, United States"
6,Milton Avery,Siesta,oil on canvas,1946-1947,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00012]
American Art",Bought In,"1,500,000 - 2,500,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
7,Milton Avery,Sleeping Nude,oil on canvas,1950,Height 26 in.; Width 42 in. / Height 66 cm.; Width 106.7 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00206]
American Art","375,000 USD Premium","300,000 - 500,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
8,Milton Avery,Startled Goats,oil on canvas,1957,Height 27.8 in.; Width 43.7 in. / Height 70.5 cm.; Width 111.1 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00207]
American Art","325,000 USD Premium","400,000 - 600,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
9,Milton Avery,Riders,oil on canvasboard,1929,Height 18 in.; Width 30 in. / Height 45.7 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00129]
American Art","75,000 USD Premium","70,000 - 100,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
10,Milton Avery,Young Girl,oil on canvasboard,1931,Height 30 in.; Width 17.7 in. / Height 76.2 cm.; Width 45 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00131]
American Art","125,000 USD Premium","80,000 - 120,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
11,Milton Avery,Hazy Sun,oil on canvasboard,1958,Height 20 in.; Width 16 in. / Height 50.8 cm.; Width 40.6 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00128]
American Art","30,000 USD Premium","30,000 - 50,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
12,Milton Avery,Bridle Path,oil on board,Circa 1936,Height 17.9 in.; Width 29.9 in. / Height 45.4 cm.; Width 75.9 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00130]
American Art",Bought In,"70,000 - 100,000 USD ?",milton-avery,male,American,1885,"Altmar, New York"
13,Stanton MacDonald-Wright,Jazz Fragment,oil on panel,1962,Height 24 in.; Width 20 in. / Height 60.9 cm.; Width 50.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00076]
American Art","32,500 USD Premium","25,000 - 35,000 USD ?",stanton-macdonald-wright,male,American,1890,"Charlottesville, VA, United States"
14,Stanton MacDonald-Wright,Jeunesse,oil on canvas,1955,Height 60 in.; Width 36 in. / Height 152.4 cm.; Width 91.4 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00077]
American Art","100,000 USD Premium","50,000 - 70,000 USD ?",stanton-macdonald-wright,male,American,1890,"Charlottesville, VA, United States"
15,Fairfield Porter,Island Beach,oil on canvas,1961,Height 24 in.; Width 30 in. / Height 60.9 cm.; Width 76.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00024]
American Art","437,500 USD Premium","150,000 - 250,000 USD ?",fairfield-porter,male,American,1907,"Winnetka, Illinois, USA"
16,Fairfield Porter,Monument Mountain from Ingleside Cottage,oil on panel,1974,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00023]
American Art","112,500 USD Premium","40,000 - 60,000 USD ?",fairfield-porter,male,American,1907,"Winnetka, Illinois, USA"
17,Fairfield Porter,"Wareham, Route 6",oil on canvas,1959,Height 17.5 in.; Width 31 in. / Height 44.5 cm.; Width 78.7 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00034]
American Art","118,750 USD Premium","100,000 - 150,000 USD ?",fairfield-porter,male,American,1907,"Winnetka, Illinois, USA"
18,Fairfield Porter,The Wave,oil on canvas,1972,Height 12 in.; Width 19 in. / Height 30.5 cm.; Width 48.3 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00209]
American Art","118,750 USD Premium","50,000 - 70,000 USD ?",fairfield-porter,male,American,1907,"Winnetka, Illinois, USA"
19,Fairfield Porter,High Tide,oil on board,1973,Height 22 in.; Width 18 in. / Height 55.9 cm.; Width 45.7 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00114]
American Art","162,500 USD Premium","100,000 - 150,000 USD ?",fairfield-porter,male,American,1907,"Winnetka, Illinois, USA"
20,Wolf Kahn,Looking Up-River,oil on canvas,1987,Height 28 in.; Width 50.2 in. / Height 71.1 cm.; Width 127.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00031]
American Art","187,500 USD Premium","25,000 - 35,000 USD ?",wolf-kahn,male,American,1927,"Stuttgart, Germany"
21,Wolf Kahn,Atlantic Highlands,oil on canvas,1960,Height 44.5 in.; Width 53.3 in. / Height 113 cm.; Width 135.3 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00032]
American Art","212,500 USD Premium","25,000 - 35,000 USD ?",wolf-kahn,male,American,1927,"Stuttgart, Germany"
22,Wolf Kahn,Flowers Against Blue Bay,oil on canvas,1956,Height 33 in.; Width 27.8 in. / Height 83.8 cm.; Width 70.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00033]
American Art","102,500 USD Premium","15,000 - 25,000 USD ?",wolf-kahn,male,American,1927,"Stuttgart, Germany"
23,Wolf Kahn,Down East Sunset I,oil on canvas,1997,Height 43 in.; Width 73 in. / Height 109.2 cm.; Width 185.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00002]
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale","206,250 USD Premium","50,000 - 70,000 USD ?",wolf-kahn,male,American,1927,"Stuttgart, Germany"
24,Wolf Kahn,Monadnok From My Pasture,oil on canvas,1999,Height 36 in.; Width 52 in. / Height 91.4 cm.; Width 132.1 cm.,"Christie's New York: Wednesday, October 28, 2020 [Lot 00132]
American Art","37,500 USD Premium","25,000 - 35,000 USD ?",wolf-kahn,male,American,1927,"Stuttgart, Germany"
25,Marsden Hartley,"Songs of Winter, No. 3",oil on board,Circa 1907-1908,Height 9 in.; Width 12 in. / Height 22.8 cm.; Width 30.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00037]
American Art","300,000 USD Premium","100,000 - 150,000 USD ?",marsden-hartley,male,American,1877,"Lewiston, ME, United States"
26,Marsden Hartley,Still Life: Wine Bottle with Glass of Red Wine,oil on canvas,Circa 1925-1926,Height 25.7 in.; Width 31.9 in. / Height 65.4 cm.; Width 80.9 cm.,"200,000 - 300,000 USD ?",,Bought In,marsden-hartley,male,American,1877,"Lewiston, ME, United States"
27,Marsden Hartley,"Mount Katahdin, Snow Storm",oil on masonite,1942,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00038]
American Art",Bought In,"700,000 - 900,000 USD ?",marsden-hartley,male,American,1877,"Lewiston, ME, United States"
28,George Bellows,"Evening Blue (Tending the Lobster Traps, Early Morning)",oil on panel,1916,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00040]
American Art","810,000 USD Premium","800,000 - 1,200,000 USD ?",george-bellows,male,American,1882,"Columbus, OH, United States"
29,George Bellows,"Through the Trees, Monhegan Island, Maine",oil on panel,1913,Height 15 in.; Width 19.5 in. / Height 38.1 cm.; Width 49.5 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00039]
American Art","162,500 USD Premium","100,000 - 150,000 USD ?",george-bellows,male,American,1882,"Columbus, OH, United States"
30,John Leslie Breck,Surf at Gloucester,oil on canvas,1894,Height 22.2 in.; Width 18 in. / Height 56.5 cm.; Width 45.7 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00053]
American Art","15,000 USD Premium","15,000 - 25,000 USD ?",john-leslie-breck,male,American,1860,
31,Frederick Carl Frieseke,Frances in a Field of Flowers,oil on canvas,1922,Height 32 in.; Width 25.5 in. / Height 81.3 cm.; Width 64.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00064]
American Art",Bought In,"40,000 - 60,000 USD ?",frederick-carl-frieseke,male,American,1874,"Owosso, Michigan"
32,Frederick Carl Frieseke,The Parrots,oil on canvas,Circa 1910,Height 63.5 in.; Width 51 in. / Height 161.3 cm.; Width 129.5 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0019C]
The Cox Collection: The Story of Impressionism, Evening Sale","990,000 USD Premium","600,000 - 900,000 USD ?",frederick-carl-frieseke,male,American,1874,"Owosso, Michigan"
33,Paul Cadmus,Lloyd and Barbara Wescott,tempera on gessoed masonite,1942,Height 21.7 in.; Width 35 in. / Height 55.2 cm.; Width 88.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00014]
American Art","2,430,000 USD Premium","300,000 - 500,000 USD ?",paul-cadmus,male,American,1904,"New York, NY, United States"
34,Maxfield Parrish,Dingleton Farm,oil on gessoed masonite,1956,Height 11.5 in.; Width 15.5 in. / Height 29.2 cm.; Width 39.4 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00018]
American Art","858,000 USD Premium","600,000 - 800,000 USD ?",maxfield-parrish,male,,1870,
35,Henrietta Shore,Unity,oil on canvas,Circa 1922,Height 38.3 in.; Width 27.5 in. / Height 97.2 cm.; Width 69.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00007]
American Art","350,000 USD Premium","80,000 - 120,000 USD ?",henrietta-shore,female,,1880,
36,Reginald Marsh,Coney Island,mixed media on gessoed masonite,1951,Height 20 in.; Width 24 in. / Height 50.8 cm.; Width 60.9 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00060]
American Art","11,250 USD Premium","12,000 - 18,000 USD ?",reginald-marsh,male,American,1898,"Paris, France"
37,Reginald Marsh,Iron Workers,oil on canvas,1923,Height 18 in.; Width 25 in. / Height 45.7 cm.; Width 63.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00242]
American Art","32,500 USD Premium","25,000 - 35,000 USD ?",reginald-marsh,male,American,1898,"Paris, France"
38,Walt Kuhn,Woman in Red Scarf Near the Seashore,oil on canvas,Circa 1912,Height 20.2 in.; Width 24.3 in. / Height 51.4 cm.; Width 61.6 cm.,"20,000 - 30,000 USD ?",,"18,750 USD Premium ?",walt-kuhn,male,American,1877,"Brooklyn, New York"
39,Walt Kuhn,Green Apples on Blue Cloth,oil on canvas,1943,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00072]
American Art","93,750 USD Premium","20,000 - 30,000 USD ?",walt-kuhn,male,American,1877,"Brooklyn, New York"
40,Walt Kuhn,Chico in a Silk Hat,oil on canvas,1948,Height 40.5 in.; Width 30 in. / Height 102.8 cm.; Width 76.2 cm.,"700,000 - 1,000,000 USD ?",,"1,590,000 USD Premium ?",walt-kuhn,male,American,1877,"Brooklyn, New York"
41,Stuart Davis,Carrefour,oil on canvas,1928,Height 12.5 in.; Width 21.7 in. / Height 31.8 cm.; Width 55.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00042]
American Art",Bought In,"700,000 - 1,000,000 USD ?",stuart-davis,male,American,1892,"Philadelphia, Pennsylvania"
42,Stuart Davis,Coast Town Landscape Study,oil on canvas,1940,Height 10 in.; Width 14 in. / Height 25.4 cm.; Width 35.6 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00009]
American Art","450,000 USD Premium","400,000 - 600,000 USD ?",stuart-davis,male,American,1892,"Philadelphia, Pennsylvania"
43,Stuart Davis,Harbor and Boats,oil and pencil on board,1922,Height 12 in.; Width 9 in. / Height 30.5 cm.; Width 22.9 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00203]
American Art",Bought In,"70,000 - 100,000 USD ?",stuart-davis,male,American,1892,"Philadelphia, Pennsylvania"
44,Louis Ritman,Going to the Market,oil on canvas,Height 28.7 in.; Width 28.7 in. / Height 73 cm.; Width 73 cm.,Signed,"25,000 - 35,000 USD ?",,"18,750 USD Premium ?",louis-ritman,male,American,1889,
45,Ernest Lawson,Birch Woods,oil on canvas laid down on board,Circa 1919,Height 25 in.; Width 30 in. / Height 63.5 cm.; Width 76.2 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00065]
American Art",Bought In,"30,000 - 50,000 USD ?",ernest-lawson,male,Canadian-American,1873,
46,Guy Carleton Wiggins,Church of the Ascension,oil on canvas,1937,Height 24 in.; Width 20 in. / Height 61 cm.; Width 50.8 cm.,"Christie's New York: Thursday, November 18, 2021 [Lot 00049]
American Art","47,500 USD Premium","25,000 - 35,000 USD ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
47,Guy Carleton Wiggins,Washington Square,oil on canvas,Height 16 in.; Width 20 in. / Height 40.6 cm.; Width 50.8 cm.,"Signed, Inscribed","20,000 - 30,000 USD ?",,"50,000 USD Premium ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
48,Guy Carleton Wiggins,Blizzard on Fifth Avenue,oil on canvas,Height 16 in.; Width 20 in. / Height 40.6 cm.; Width 50.8 cm.,"Signed, Inscribed","20,000 - 30,000 USD ?",,"37,500 USD Premium ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
49,Guy Carleton Wiggins,"Midtown, 5th Avenue Looking South",oil on canvas,Height 24 in.; Width 20 in. / Height 60.9 cm.; Width 50.8 cm.,"Signed, Inscribed","60,000 - 80,000 USD ?",,"68,750 USD Premium ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
50,Guy Carleton Wiggins,An Old Fashioned Christmas,oil on canvas,Height 30 in.; Width 40 in. / Height 76.3 cm.; Width 101.6 cm.,Signed,"80,000 - 120,000 USD ?",,"75,000 USD Premium ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
51,Guy Carleton Wiggins,"Winter on Wall Street, Trinity Church",oil on board,Height 12 in.; Width 16 in. / Height 30.5 cm.; Width 40.6 cm.,"Signed, Inscribed","20,000 - 30,000 USD ?",,"27,500 USD Premium ?",guy-carleton-wiggins,male,American,1883,"Brooklyn, NY, USA"
